engText,Text,CorrAns,Cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_text.started,Intro_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,task_resp.keys,task_resp.corr,task_resp.rt,task_resp.started,task_resp.stopped,text_show.started,text_show.stopped,bye.started,bye.stopped,bye_resp.keys,bye_resp.rt,bye_resp.started,bye_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.00930002599489,None,space,0.43534854601603,10.00930002599489,None,,,,,,,,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
desk,책상,1,w,0,0,0,0,,,,,,,1,1,0.8040777620044537,10.544512650987599,None,10.544512650987599,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
reng,뱐지,0,nw,0,1,1,1,,,,,,,0,1,0.22323284397134557,11.413390719972085,None,11.413390719972085,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
calm,치마,1,w,0,2,2,2,,,,,,,1,1,0.046145294967573136,11.694536936003715,None,11.694536936003715,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
skai,연어,0,w,0,3,3,3,,,,,,,0,1,0.009540475031826645,11.827079063979909,None,11.827079063979909,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
moon,다리,1,w,0,4,4,4,,,,,,,1,1,0.054325343982782215,11.910414056968875,None,11.910414056968875,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
phur,러개,0,nw,0,5,5,5,,,,,,,0,1,-0.030783340975176543,12.043399736983702,None,12.043399736983702,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
deer,사슴,1,w,0,6,6,6,,,,,,,1,1,0.08733021398074925,12.093307907984126,None,12.093307907984126,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
quit,곱밤,0,nw,0,7,7,7,,,,,,,0,1,0.00796149903908372,12.26067371899262,None,12.26067371899262,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
goba,갸교,0,nw,0,8,8,8,,,,,,,1,0,0.06749219400808215,12.345134596980643,None,12.345134596980643,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
face,신청,1,w,0,9,9,9,,,,,,,0,0,0.006733824964612722,12.493878958979622,None,12.493878958979622,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
test,증거,1,w,0,10,10,10,,,,,,,1,1,0.05136862304061651,12.577241858001798,None,12.577241858001798,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
rest,휴직,1,w,0,11,11,11,,,,,,,0,0,0.014423979970160872,12.694280887953937,None,12.694280887953937,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
geeb,둔거,0,nw,0,12,12,12,,,,,,,1,0,0.04963624500669539,12.778998867957853,None,12.778998867957853,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
bone,탁주,1,w,0,13,13,13,,,,,,,0,0,0.04605745698790997,12.894656485004816,None,12.894656485004816,None,,,,,,,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
,,,,,,,,,,,,,,,,,,,,,13.028018026961945,None,space,1.768617351015564,13.028018026961945,None,1706,001,2019_May_09_1706,lexical_decision,3.1.0,59.755175158958735,
